,Mouse,Amplitude,TimeBin,Motion
522,RLI6-9,1.5mA,24,2.4893731319286405
523,RLI6-10,0.25mA,24,2.2019506052768474
524,RLI6-11,1.5mA,24,0.9820847988995628
525,RLI6-12,0.25mA,24,3.1968929095746432
526,RLI8-3,1.5mA,24,2.187464833913214
527,RLI8-6,1.5mA,24,1.500559687863195
528,RLI5-1,0.25mA,25,0.967608559834105
529,RLI5-2,1.5mA,25,1.5225168751190818
530,RLI5-3,0.25mA,25,2.343243692152677
531,RLI5-4,1.5mA,25,2.0913305246657115
532,RLI5-5,0.25mA,25,1.8986236401485874
533,RLI5-6,1.5mA,25,0.48121539471043473
534,RLI5-7,0.25mA,25,2.9502808313569475
535,RLI5-8,1.5mA,25,0.9627896983131707
536,RLI5-9,0.25mA,25,0.38694698646034215
537,RLI5-10,1.5mA,25,1.349746527997538
538,RLI6-1,0.25mA,25,1.7043392840530474
539,RLI6-2,1.5mA,25,2.397208988781323
