,Mouse,Amplitude,BehavioralState,Ensemble,FiringRate,CellIndex
7386,RLI9-6,1.5mA,Quiet Rest,Remaining,0.08101439848512731,4000.0
7387,RLI9-6,1.5mA,Quiet Rest,Fear,-0.023844362073381652,4001.0
7388,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.053750993772812866,4002.0
7389,RLI9-6,1.5mA,Quiet Rest,Remaining,0.030456782188812988,4003.0
7390,RLI9-6,1.5mA,Quiet Rest,Remaining,0.0637559509231304,4004.0
7391,RLI9-6,1.5mA,Quiet Rest,Fear,0.0328476917758623,4005.0
7392,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.03559729700287454,4006.0
7393,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.03856918744068931,4007.0
7394,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05534063338577656,4008.0
7395,RLI9-6,1.5mA,Quiet Rest,Remaining,0.02512089689348808,4009.0
7396,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.060312750588258926,4010.0
7397,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05166363913078453,4011.0
7398,RLI9-6,1.5mA,Quiet Rest,Fear,0.1405314234572146,4012.0
7399,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.051695556797467665,4013.0
7400,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.008277035279307286,4014.0
