,Mouse,CutoffFraction,Ensemble,FractionOfEnsembleCells
0,RLI12-3,64,Aversive,0.416
1,RLI12-3,64,Overlap,0.5567765567765568
2,RLI12-3,64,Neutral,0.37815126050420167
3,RLI12-3,64,Remaining,0.7755102040816326
0,RLI12-3,66,Aversive,0.416
1,RLI12-3,66,Overlap,0.5567765567765568
2,RLI12-3,66,Neutral,0.5
3,RLI12-3,66,Remaining,0.7755102040816326
0,RLI12-3,68,Aversive,0.416
1,RLI12-3,68,Overlap,0.5897435897435898
2,RLI12-3,68,Neutral,0.5840336134453782
3,RLI12-3,68,Remaining,0.7755102040816326
0,RLI12-3,70,Aversive,0.416
1,RLI12-3,70,Overlap,0.5934065934065934
2,RLI12-3,70,Neutral,0.7058823529411765
3,RLI12-3,70,Remaining,0.7755102040816326
0,RLI12-3,72,Aversive,0.416
1,RLI12-3,72,Overlap,0.608058608058608
2,RLI12-3,72,Neutral,0.7941176470588235
3,RLI12-3,72,Remaining,0.78031212484994
0,RLI12-3,74,Aversive,0.416
1,RLI12-3,74,Overlap,0.6666666666666666
2,RLI12-3,74,Neutral,0.8487394957983193
3,RLI12-3,74,Remaining,0.7815126050420168
0,RLI12-3,76,Aversive,0.416
1,RLI12-3,76,Overlap,0.73992673992674
2,RLI12-3,76,Neutral,0.8865546218487395
3,RLI12-3,76,Remaining,0.7815126050420168
0,RLI12-3,78,Aversive,0.416
1,RLI12-3,78,Overlap,0.8388278388278388
2,RLI12-3,78,Neutral,0.8949579831932774
3,RLI12-3,78,Remaining,0.7815126050420168
0,RLI12-3,80,Aversive,0.416
1,RLI12-3,80,Overlap,0.8937728937728938
2,RLI12-3,80,Neutral,0.957983193277311
3,RLI12-3,80,Remaining,0.7815126050420168
0,RLI12-3,82,Aversive,0.416
1,RLI12-3,82,Overlap,0.9597069597069597
2,RLI12-3,82,Neutral,1.0
3,RLI12-3,82,Remaining,0.7827130852340937
0,RLI12-3,84,Aversive,0.512
1,RLI12-3,84,Overlap,0.9597069597069597
2,RLI12-3,84,Neutral,1.0
3,RLI12-3,84,Remaining,0.8031212484993998
0,RLI12-3,86,Aversive,0.632
1,RLI12-3,86,Overlap,0.9597069597069597
2,RLI12-3,86,Neutral,1.0
3,RLI12-3,86,Remaining,0.8211284513805522
0,RLI12-3,88,Aversive,0.664
