,Mouse,CutoffFraction,Ensemble,FractionOfGadCells
2,RLI12-2,88,Neutral,0.05736434108527132
3,RLI12-2,88,Remaining,0.603875968992248
0,RLI12-2,90,Aversive,0.09848484848484848
1,RLI12-2,90,Overlap,0.23257575757575757
2,RLI12-2,90,Neutral,0.058333333333333334
3,RLI12-2,90,Remaining,0.6106060606060606
0,RLI12-2,92,Aversive,0.09636767976278725
1,RLI12-2,92,Overlap,0.22757598220904374
2,RLI12-2,92,Neutral,0.07857672349888807
3,RLI12-2,92,Remaining,0.597479614529281
0,RLI12-2,94,Aversive,0.09433962264150944
1,RLI12-2,94,Overlap,0.2227866473149492
2,RLI12-2,94,Neutral,0.09796806966618288
3,RLI12-2,94,Remaining,0.5849056603773585
0,RLI12-2,96,Aversive,0.09232954545454546
1,RLI12-2,96,Overlap,0.21803977272727273
2,RLI12-2,96,Neutral,0.10653409090909091
3,RLI12-2,96,Remaining,0.5830965909090909
0,RLI12-2,98,Aversive,0.09046624913013222
1,RLI12-2,98,Overlap,0.21363952679192763
2,RLI12-2,98,Neutral,0.10438413361169102
3,RLI12-2,98,Remaining,0.5915100904662491
0,RLI12-2,100,Aversive,0.08861622358554874
1,RLI12-2,100,Overlap,0.2092706203135651
2,RLI12-2,100,Neutral,0.1056578050443081
3,RLI12-2,100,Remaining,0.5964553510565781
0,RLI12-3,2,Aversive,0.10344827586206896
1,RLI12-3,2,Overlap,0.4827586206896552
2,RLI12-3,2,Neutral,0.27586206896551724
3,RLI12-3,2,Remaining,0.13793103448275862
0,RLI12-3,4,Aversive,0.10344827586206896
1,RLI12-3,4,Overlap,0.4827586206896552
2,RLI12-3,4,Neutral,0.22413793103448276
3,RLI12-3,4,Remaining,0.1896551724137931
0,RLI12-3,6,Aversive,0.11363636363636363
1,RLI12-3,6,Overlap,0.3977272727272727
2,RLI12-3,6,Neutral,0.25
3,RLI12-3,6,Remaining,0.23863636363636365
0,RLI12-3,8,Aversive,0.10256410256410256
1,RLI12-3,8,Overlap,0.41025641025641024
2,RLI12-3,8,Neutral,0.24786324786324787
3,RLI12-3,8,Remaining,0.23931623931623933
